IDENTIFIER,val_TE_30,val_TE_60,val_TE_90,pval_TE_30,pval_TE_60,pval_TE_90
AC024060.1,2.35290099,0,0,0.999968765,1,1
AC024067.1,0,0,0,1,1,1
AC024075.1,7.466941947,0,0,0.999968765,1,1
AC024075.2,0,0,1.022553867,1,1,0.999921572
AC024075.3,0,7.357056815,0,1,0.999993293,1
AC024082.1,0,0,0,1,1,1
AC024082.2,0,0,0,1,1,1
AC024084.1,0,0,0,1,1,1
AC024085.1,0,0,0,1,1,1
AC024132.1,0,0,0,1,1,1
AC024132.2,0,0,0,1,1,1
AC024132.3,0,0,0,1,1,1
AC024145.1,0,0,0,1,1,1
AC024153.1,0,0,0,1,1,1
AC024220.1,0,0,0,1,1,1
AC024224.1,0,0,0,1,1,1
AC024224.2,0,0,0,1,1,1
AC024230.1,-0.286123639,-0.196393674,1.033907538,0.999968765,0.999993293,0.999921572
AC024243.1,3.2030767,1.7598172,0,0.9999688,0.9999933,1
AC024255.1,0,0,0,1,1,1
AC024257.1,0,0,0,1,1,1
AC024257.2,0,0,0,1,1,1
AC024257.3,3.020647779,0,0,0.999968765,1,1
AC024257.4,0,0,0,1,1,1
AC024257.5,0,0,0,1,1,1
AC024267.1,0,0,0,1,1,1
AC024267.2,0,0,0,1,1,1
AC024267.3,0,0,0,1,1,1
AC024267.4,0,-6.277336847,0,1,0.999993293,1
AC024267.5,0,0,0,1,1,1
AC024267.6,0,0,0,1,1,1
AC024270.1,-0.2960036,-0.051131,-0.093484,0.9999688,0.9999933,0.9999216
AC024270.2,0,0,0,1,1,1
AC024270.3,0,0,0,1,1,1
AC024270.4,0,0,0,1,1,1
AC024270.5,0,0,0,1,1,1
AC024288.1,0,0,0,1,1,1
AC024293.1,0,0,0,1,1,1
AC024337.1,0,0,0,1,1,1
AC024337.2,0,0,0,1,1,1
AC024341.1,0,0,0,1,1,1
AC024361.1,0,0,0,1,1,1
AC024361.2,0,0,0,1,1,1
AC024361.3,0,0,0,1,1,1
AC024382.1,0,0,0,1,1,1
AC024405.1,0,0,0,1,1,1
AC024405.2,0,0,0,1,1,1
AC024451.1,0,0,0,1,1,1
AC024451.2,0,0,0,1,1,1
AC024451.3,0,0,0,1,1,1
AC024451.4,0,0,0,1,1,1
AC024475.1,0,0,0,1,1,1
AC024475.2,0,0,0,1,1,1
AC024475.3,0,0,0,1,1,1
AC024475.4,0,0,0,1,1,1
AC024558.1,0,0,0,1,1,1
AC024559.1,0,0,0,1,1,1
AC024559.2,0,0,0,1,1,1
AC024560.1,0,0,0,1,1,1
AC024560.2,0,0,0,1,1,1
AC024560.3,0,0,0,1,1,1
AC024563.1,0,0,0,1,1,1
AC024563.2,0,0,0,1,1,1
AC024568.1,0,0,0,1,1,1
AC024575.1,0.739720835,1.171411407,-1.717250961,0.999968765,0.999993293,0.999921572
AC024579.1,0,0,0,1,1,1
AC024580.1,0,0,0,1,1,1
AC024580.2,0,0,0,1,1,1
AC024581.1,-6.202595145,0,-5.941857096,0.999968765,1,0.999921572
AC024581.2,0,0,0,1,1,1
AC024587.1,0,0,0,1,1,1
AC024587.2,0,0,0,1,1,1
AC024589.1,0,0,0,1,1,1
AC024589.2,0,0,0,1,1,1
AC024592.1,0,0,0,1,1,1
AC024592.2,0,0,0,1,1,1
AC024592.3,1.094931053,-1.112882476,-2.120505506,0.999968765,0.999993293,0.999921572
AC024595.1,0,0,0,1,1,1
AC024597.1,0,0,0,1,1,1
AC024600.1,0,0,0,1,1,1
AC024601.1,0,0,0,1,1,1
AC024603.1,0,0,0,1,1,1
AC024610.1,0,0,0,1,1,1
AC024610.2,-5.940722086,0,0,0.999968765,1,1
AC024614.1,0,0,0,1,1,1
AC024614.2,0,0,0,1,1,1
AC024614.3,0,0,0,1,1,1
AC024614.4,0,0,0,1,1,1
AC024619.1,0,0,0,1,1,1
AC024619.2,0,0,0,1,1,1
AC024619.3,0,0,0,1,1,1
AC024619.4,0,0,0,1,1,1
AC024651.1,0,0,0,1,1,1
AC024651.2,0,0,0,1,1,1
AC024681.1,0,0,0,1,1,1
AC024681.2,0,0,0,1,1,1
AC024884.1,0,0,0,1,1,1
AC024884.2,0,0,0,1,1,1
AC024896.1,-5.7008266,0,0,0.8775442,1,1
AC024901.1,-1.287670008,-1.739436403,0.680184754,0.999968765,0.999993293,0.999921572
AC024908.1,0,0,0,1,1,1
AC024909.1,0,0,0,1,1,1
AC024909.2,0,0,0,1,1,1
AC024909.3,-9.9429802,-12.03999,0,0.00000603,0.9999933,1
AC024933.1,0,0,0,1,1,1
AC024937.1,0,0,0,1,1,1
AC024937.2,0,0,0,1,1,1
AC024937.3,-0.302327751,0.481787139,1.02248163,0.999968765,0.999993293,0.999921572
AC024940.1,0,0,-7.890211686,1,1,0.999921572
AC024940.2,0,2.86727649,0,1,0.999993293,1
AC024940.3,0,0,0,1,1,1
AC024940.4,0,0,0,1,1,1
AC024940.5,0,0,0,1,1,1
AC024940.6,0,0,0,1,1,1
AC024940.7,0,0,0,1,1,1
AC024940.8,0,0,0,1,1,1
AC024940.9,0,0,0,1,1,1
AC024941.1,0,0,0,1,1,1
AC024941.2,0,0,0,1,1,1
AC024958.1,0,0,0,1,1,1
AC024995.1,0,0,0,1,1,1
AC025016.1,0,0,0,1,1,1
AC025016.2,0,0,0,1,1,1
AC025030.1,0,0,0,1,1,1
AC025030.2,0,0,0,1,1,1
AC025031.1,0,0,0,1,1,1
AC025031.2,-0.511900351,0.841308289,0,0.999968765,0.999993293,1
AC025031.3,0,0,0,1,1,1
AC025031.4,0,0,0,1,1,1
AC025031.5,0,0,0,1,1,1
AC025033.1,0,0,0,1,1,1
AC025034.1,0,0,0,1,1,1
AC025034.2,0,0,0,1,1,1
AC025035.1,0,0,0,1,1,1
AC025038.1,0,0,0,1,1,1
AC025040.1,0,0,0,1,1,1
AC025040.2,0,0,0,1,1,1
AC025043.1,0,0,0,1,1,1
AC025048.1,0,0,0,1,1,1
AC025048.2,0.644991,0.143123,-1.269203,0.9999688,0.9999933,0.9999216
AC025048.3,0,0,0,1,1,1
AC025048.4,-0.330653,0,0,0.9999688,1,1
AC025048.5,0,0,0,1,1,1
AC025048.6,0,0,1.148785,1,1,0.9999216
AC025062.1,0,0,0,1,1,1
AC025062.2,0,0,0,1,1,1
AC025125.1,0,0,0,1,1,1
AC025154.1,0,0,0,1,1,1
AC025154.2,0.712442589,-0.501219178,-0.356968606,0.999968765,0.999993293,0.999921572
AC025161.1,0,0,0,1,1,1
AC025162.1,0,0,0,1,1,1
AC025162.2,0,0,0,1,1,1
AC025164.1,0,0,0,1,1,1
AC025164.2,0.271338558,-0.418274997,-0.674373502,0.999968765,0.999993293,0.999921572
AC025165.1,0,0,0,1,1,1
AC025165.2,0,0,0,1,1,1
AC025165.3,-4.229809,-7.0988966,-5.237453,0.9999688,0.9999933,0.9999216
AC025165.4,0,0,0,1,1,1
AC025165.5,0,0,0,1,1,1
AC025166.1,0,0.687776951,0,1,0.999993293,1
AC025171.1,-0.139796704,0.324494577,0.273519366,0.999968765,0.999993293,0.999921572
AC025171.2,0.334868536,1.224161624,1.154119589,0.999968765,0.444682487,0.999921572
AC025171.3,-0.295866042,4.078457035,0,0.999968765,0.999993293,1
AC025171.4,0,0,0,1,1,1
AC025171.5,0,0,0,1,1,1
AC025174.1,0,0,0,1,1,1
AC025175.1,0,0,0,1,1,1
AC025176.1,0,0,0,1,1,1
AC025178.1,5.791013546,0,0,0.999968765,1,1
AC025180.1,0,0,0,1,1,1
AC025181.1,0,0,0,1,1,1
AC025181.2,-0.002433116,0.374631485,-0.021095703,0.999968765,0.999993293,0.999921572
AC025183.1,0,0,0,1,1,1
AC025183.2,0,0,0,1,1,1
AC025183.3,0,0,0,1,1,1
AC025186.1,0,0,0,1,1,1
AC025187.1,0,0,0,1,1,1
AC025188.1,0,0,0,1,1,1
AC025198.1,0,0,0,1,1,1
AC025211.1,0,0,0,1,1,1
AC025219.1,0,0,0,1,1,1
AC025244.1,0,0,0,1,1,1
AC025244.2,0,0,0,1,1,1
AC025244.3,0,0,0,1,1,1
AC025252.1,0,0,0,1,1,1
AC025252.2,0,0,0,1,1,1
AC025253.1,0,0,0,1,1,1
AC025254.1,0,0,0,1,1,1
AC025257.1,0,0,0,1,1,1
AC025259.1,0,0,0,1,1,1
AC025259.2,0,0,0,1,1,1
AC025259.3,0,0,0,1,1,1
AC025260.1,0,0,0,1,1,1
AC025262.1,0,0,0,1,1,1
AC025262.2,0,0,0,1,1,1
AC025262.3,0,0,0,1,1,1
AC025263.1,0,0,0,1,1,1
AC025263.2,0,0,0,1,1,1
AC025263.3,0,0,0,1,1,1
AC025265.1,0,0,0,1,1,1
AC025265.2,0,0,0,1,1,1
AC025265.3,0,0,0,1,1,1
AC025268.1,0,0,0,1,1,1
AC025271.1,0,0,0,1,1,1
AC025271.2,0,0,0,1,1,1
AC025271.3,0,0,0,1,1,1
AC025271.4,0,0,0,1,1,1
AC025272.1,0,0,0,1,1,1
AC025277.1,0,0,0,1,1,1
AC025278.1,0,0,0,1,1,1
AC025278.2,0,0,0,1,1,1
AC025278.3,0,0,0,1,1,1
AC025279.1,-0.663262,-0.200789,0,0.9999688,0.9999933,1
AC025279.2,0,0,0,1,1,1
AC025279.3,0,0,0,1,1,1
AC025280.1,0,0,0,1,1,1
AC025280.2,0,0,0,1,1,1
AC025281.1,0,0,0,1,1,1
AC025283.1,0,0,0,1,1,1
AC025283.2,0,0,0,1,1,1
AC025284.1,0,0,0,1,1,1
AC025287.1,0,0,0,1,1,1
AC025287.2,0,0,0,1,1,1
AC025287.3,0,0,0,1,1,1
AC025287.4,0,0,0,1,1,1
AC025300.1,0,0,0,1,1,1
AC025366.1,0,0,0,1,1,1
AC025370.1,0,0,0,1,1,1
AC025419.1,0,0,0,1,1,1
AC025423.1,0,0,0,1,1,1
AC025423.2,0,0,0,1,1,1
AC025423.3,0,0,0,1,1,1
AC025423.4,0,0,0,1,1,1
AC025423.5,0,0,0,1,1,1
AC025428.1,0,0,0,1,1,1
AC025428.2,0,0,0,1,1,1
AC025430.1,0,0,0,1,1,1
AC025431.1,0,0,0,1,1,1
AC025434.1,0,0,0,1,1,1
AC025437.1,0,0,0,1,1,1
AC025437.2,0,0,0,1,1,1
AC025437.3,0,0,0,1,1,1
AC025437.4,0,0,0,1,1,1
AC025437.5,0,0,0,1,1,1
AC025437.6,0,0,0,1,1,1
AC025442.1,0,0,0,1,1,1
AC025445.1,0,0,0,1,1,1
AC025449.1,0,2.679426278,0,1,0.999993293,1
AC025458.1,0,0,0,1,1,1
AC025459.1,0,0,0,1,1,1
AC025465.1,0,0,0,1,1,1
AC025465.2,0,0,0,1,1,1
AC025465.3,0,0,0,1,1,1
AC025465.4,0,0,0,1,1,1
AC025470.1,0,0,0,1,1,1
AC025470.2,0,0,0,1,1,1
AC025475.1,0,0,0,1,1,1
AC025518.1,0,0,0,1,1,1
AC025518.2,0,0,0,1,1,1
AC025521.1,0,0,0,1,1,1
AC025524.1,0,0,0,1,1,1
AC025524.2,0,0,0,1,1,1
AC025538.1,0,0,0,1,1,1
AC025539.1,9.683403,0,0,0.9999688,1,1
AC025554.1,0,0,0,1,1,1
AC025566.1,0,0,0,1,1,1
AC025569.1,0.440340092,-2.017537018,-7.983807236,0.999968765,0.999993293,0.999921572
AC025572.1,0,0,0,1,1,1
AC025574.1,0,0,0,1,1,1
AC025574.2,0,0,0,1,1,1
AC025575.1,0,0,0,1,1,1
AC025575.2,0,0,0,1,1,1
AC025576.1,0,0,0,1,1,1
AC025576.2,0,0,0,1,1,1
AC025578.1,0,0,0,1,1,1
AC025580.1,0,0,0,1,1,1
AC025580.2,3.786277166,0,0,0.646286823,1,1
AC025580.3,-9.182512637,0,0,0.999968765,1,1
AC025588.1,0,0,0,1,1,1
AC025588.2,0,0,0,1,1,1
AC025588.3,0,0,0,1,1,1
AC025588.4,0,0,0,1,1,1
AC025594.1,0,0,0,1,1,1
AC025594.2,0,0,0,1,1,1
AC025594.3,0,0,0,1,1,1
AC025594.4,0,0,0,1,1,1
AC025627.1,0,0,0,1,1,1
AC025627.2,0,0,0,1,1,1
AC025627.3,0,0,0,1,1,1
AC025627.4,0,0,0,1,1,1
AC025647.1,0,0,0,1,1,1
AC025674.1,0,0,0,1,1,1
AC025674.2,0,0,0,1,1,1
AC025674.3,0,0,0,1,1,1
AC025674.4,0,0,0,1,1,1
AC025678.1,0,0,0,1,1,1
AC025678.2,0,0,0,1,1,1
AC025678.3,0,0,0,1,1,1
AC025682.1,0.4061177,-1.23040861,0.6371906,0.9999688,0.9999933,0.9999216
AC025741.1,0,0,0,1,1,1
AC025750.1,0,0,0,1,1,1
AC025750.2,0,0,0,1,1,1
AC025752.1,0,0,0,1,1,1
AC025754.1,0,0,0,1,1,1
AC025754.2,0,0,0,1,1,1
AC025755.1,0,0,0,1,1,1
AC025766.1,1.197364457,-4.524736617,2.31455253,0.999968765,0.999993293,0.999921572
AC025768.1,0,0,0,1,1,1
AC025771.1,0,0,0,1,1,1
AC025773.1,0,0,0,1,1,1
AC025809.1,0,0,0,1,1,1
AC025809.2,0,0,0,1,1,1
AC025810.1,0,0,0,1,1,1
AC025811.1,0,0,0,1,1,1
AC025822.1,0,0,0,1,1,1
AC025822.2,-8.571078551,0,0,0.999968765,1,1
AC025857.1,0,0,0,1,1,1
AC025857.2,0,0,0,1,1,1
AC025871.1,0,0,0,1,1,1
AC025871.2,0,0,0,1,1,1
AC025881.1,0,0,0,1,1,1
AC025882.1,0,0,0,1,1,1
AC025884.1,0,0,0,1,1,1
AC025884.2,1.703603409,0.028004932,1.089135662,0.999968765,0.999993293,0.999921572
AC025884.3,0,0,0,1,1,1
AC025887.1,0,0,0,1,1,1
AC025917.1,0,0,0,1,1,1
AC025918.1,0,0,0,1,1,1
AC025918.2,0,0,0,1,1,1
AC025946.1,0,0,0,1,1,1
AC025946.2,0,0,0,1,1,1
AC025947.1,0,0,0,1,1,1
AC026108.1,0,0,0,1,1,1
AC026111.1,0,0,0,1,1,1
AC026116.1,0,0,0,1,1,1
AC026117.1,0,0,0,1,1,1
AC026120.1,0,0,0,1,1,1
AC026120.2,0,0,0,1,1,1
AC026124.1,-1.275991,0,0,0.9999688,1,1
AC026124.2,0,0,0,1,1,1
AC026150.1,0,0,0,1,1,1
AC026150.2,0,0,0,1,1,1
AC026150.3,0,0,0,1,1,1
AC026167.1,0,0,0,1,1,1
AC026185.1,0,0,0,1,1,1
AC026191.1,1.388079626,-0.693046631,0.445898982,0.999968765,0.999993293,0.999921572
AC026202.1,0,0,0,1,1,1
AC026202.2,0,0,0,1,1,1
AC026202.3,0,0,0,1,1,1
AC026241.1,0,0,0,1,1,1
AC026250.1,0,0.321594879,0,1,0.999993293,1
AC026254.1,0,0,0,1,1,1
AC026254.2,0,0,0,1,1,1
AC026254.3,0,0,0,1,1,1
AC026254.4,0,0,0,1,1,1
AC026254.5,0,0,0,1,1,1
AC026271.1,0,0,0,1,1,1
AC026271.2,0,0,0,1,1,1
AC026271.3,0,0,0,1,1,1
AC026271.4,0,0,0,1,1,1
AC026271.5,0,0,0,1,1,1
AC026304.1,-0.689702,-1.2467797,-0.1921235,0.9999688,0.9999933,0.9999216
AC026310.1,0,0,0,1,1,1
AC026310.2,0,0,0,1,1,1
AC026310.3,0,0,0,1,1,1
AC026316.1,0,0,0,1,1,1
AC026316.2,0,0,0,1,1,1
AC026316.3,0,0,0,1,1,1
AC026320.1,0,0,0,1,1,1
AC026320.2,0,0,0,1,1,1
AC026333.1,0,0,0,1,1,1
AC026333.2,0,0,0,1,1,1
AC026333.3,0,0,0,1,1,1
AC026333.4,0,0,0,1,1,1
AC026336.1,0,0,0,1,1,1
AC026336.2,0,0,0,1,1,1
AC026336.3,0,0,0,1,1,1
AC026336.4,0,0,0,1,1,1
AC026336.5,0,0,0,1,1,1
AC026347.1,0,0,0,1,1,1
AC026348.1,0,0,0,1,1,1
AC026353.1,0,0,0,1,1,1
AC026355.1,0,0,0,1,1,1
AC026355.2,0,0,0,1,1,1
AC026355.3,0,0,0,1,1,1
AC026356.1,0,0,0,1,1,1
AC026356.2,-7.6076232,0,-1.8525734,0.9999688,1,0.9999216
AC026358.1,0,0,0,1,1,1
AC026362.1,0,0,0,1,1,1
AC026362.2,0,-9.347270612,-3.344241777,1,0.903734765,0.999921572
AC026366.1,0.752417,-0.704139,-0.454233,0.9999688,0.9999933,0.9999216
AC026367.1,0,0,0,1,1,1
AC026367.2,0,0,0,1,1,1
AC026367.3,0,0,0,1,1,1
AC026368.1,0,0,0,1,1,1
AC026369.1,0,0,0,1,1,1
AC026369.2,0,0,0,1,1,1
AC026369.3,0,0,0,1,1,1
AC026369.4,0,0,0,1,1,1
AC026369.5,0,0,0,1,1,1
AC026369.6,0,0,0,1,1,1
AC026369.7,0,0,0,1,1,1
AC026369.8,0,0,0,1,1,1
AC026371.1,0,0,0,1,1,1
AC026391.1,0,0,0,1,1,1
AC026396.1,0,0,0,1,1,1
AC026398.1,0,0,0,1,1,1
AC026401.1,0,0,0,1,1,1
AC026401.2,0,0,0,1,1,1
AC026401.3,0.409557148,0,0,0.999968765,1,1
AC026402.1,0,0,0,1,1,1
AC026403.1,0,0,0,1,1,1
AC026407.1,0,0,0,1,1,1
AC026410.1,0,0.218077919,0,1,0.999993293,1
AC026410.2,0,0,0,1,1,1
AC026410.3,0,0,0,1,1,1
AC026412.1,-0.125757645,-0.716133118,0.076335133,0.999968765,0.999993293,0.999921572
AC026412.2,0,0,0,1,1,1
AC026412.3,0,0,0,1,1,1
AC026414.1,0,0,0,1,1,1
AC026415.1,0,0,0,1,1,1
AC026421.1,0,0,0,1,1,1
AC026422.1,0,0,0,1,1,1
AC026427.1,0,0,0,1,1,1
AC026427.2,0,0,0,1,1,1
AC026434.1,0,0,0,1,1,1
AC026434.2,0,0,0,1,1,1
AC026436.1,0,0,0,1,1,1
AC026444.1,0,0,0,1,1,1
AC026458.1,0,0,0,1,1,1
AC026458.2,0,0,0,1,1,1
AC026461.1,0,0,0,1,1,1
AC026461.2,0,0,0,1,1,1
AC026461.3,0,0,0,1,1,1
AC026461.4,0,0,0,1,1,1
AC026462.1,0,0,0,1,1,1
AC026462.2,0,0,0,1,1,1
AC026462.3,0,0,0,1,1,1
AC026462.4,0,0,0,1,1,1
AC026464.1,0,0,0,1,1,1
AC026464.2,0,0,0,1,1,1
AC026464.3,-0.813241,0.292872,-1.574893,0.9999688,0.9999933,0.9999216
AC026464.4,-0.685817,-0.535051,-0.266296,0.9884286,0.8619471,0.9999216
AC026464.5,0,0,0,1,1,1
AC026468.1,0,0,0,1,1,1
AC026469.1,0,0,0,1,1,1
AC026470.1,0,0,0,1,1,1
AC026470.2,0,0,0,1,1,1
AC026470.3,0,0,0,1,1,1
AC026470.4,0,0,0,1,1,1
AC026471.1,-0.013133248,-0.12147378,1.205305499,0.999968765,0.999993293,0.917311847
AC026471.2,0.5101363,0.04538898,-2.231268729,0.999968765,0.999993293,0.999921572
AC026471.3,0,0,0,1,1,1
AC026471.4,0,0,0,1,1,1
AC026471.5,0,0,0,1,1,1
AC026471.6,-1.203750145,-0.056561852,-0.346670089,0.999968765,0.999993293,0.999921572
AC026474.1,0,0,0,1,1,1
AC026477.1,0,0,0,1,1,1
AC026495.1,0,0,0,1,1,1
AC026523.1,0,0,0,1,1,1
AC026523.2,0,0,0,1,1,1
AC026583.1,0,0,0,1,1,1
AC026585.1,0,0,0,1,1,1
AC026616.1,0,0,0,1,1,1
AC026620.1,0,0,0,1,1,1
AC026634.1,0,0,0,1,1,1
AC026688.1,0,0,0,1,1,1
AC026688.2,0,0,0,1,1,1
AC026691.1,0,0,0,1,1,1
AC026700.1,0,0,0,1,1,1
AC026704.1,-0.742682591,2.391998046,1.947306739,0.999968765,0.943435117,0.999921572
AC026719.1,0,0,0,1,1,1
AC026719.2,0,0,0,1,1,1
AC026725.1,0,0,0,1,1,1
AC026726.1,0,0,0,1,1,1
AC026740.1,0,0,0,1,1,1
AC026741.1,0,0,0,1,1,1
AC026746.1,0,0,0,1,1,1
AC026748.1,0,-4.517218329,0,1,0.999993293,1
AC026748.2,0,0,0,1,1,1
AC026765.1,0,0,0,1,1,1
AC026765.2,0,0,0,1,1,1
AC026770.1,0,0,0,1,1,1
AC026771.1,0,0,0,1,1,1
AC026774.1,0,0,0,1,1,1
AC026774.2,0,0,0,1,1,1
AC026780.1,0,0,0,1,1,1
AC026780.2,0,0,0,1,1,1
AC026782.1,0,0,0,1,1,1
AC026782.2,0,0,0,1,1,1
AC026784.1,0,0,0,1,1,1
AC026785.1,1.8706999,0.3006789,0.5427492,0.9999688,0.9999933,0.9999216
AC026785.2,0,0,0,1,1,1
AC026785.3,0.424357,0.099378,0.285947,0.9999688,0.9999933,0.9999216
AC026786.1,0,0,0,1,1,1
AC026786.2,0,0,0,1,1,1
AC026787.1,0,0,0,1,1,1
AC026790.1,-0.268025,0.1578423,1.1847604,0.9999688,0.9999933,0.9999216
AC026790.2,0,0,0,1,1,1
AC026797.1,0,0,0,1,1,1
AC026798.1,0,0,0,1,1,1
AC026801.1,0,0,0,1,1,1
AC026801.2,0,0,0,1,1,1
AC026801.3,0.5504772,-0.5973818,0.2585767,0.9999688,0.9999933,0.9999216
AC026803.1,0,0,0,1,1,1
AC026803.2,-0.997951306,0.38972876,0.27256367,0.999968765,0.999993293,0.999921572
AC026826.1,0,0,0,1,1,1
AC026826.2,0,0,0,1,1,1
AC026826.3,0,0,0,1,1,1
AC026877.1,-0.799368,-2.124894,0.3731521,0.9999688,0.9802737,0.9999216
AC026884.1,0,0,0,1,1,1
AC026887.1,0,0,0,1,1,1
AC026888.1,0,0,0,1,1,1
AC026894.1,0,0,0,1,1,1
AC026898.1,0,0,0,1,1,1
AC026904.1,0,0,0,1,1,1
AC026904.2,0,0,0,1,1,1
AC026904.3,0,0,0,1,1,1
AC026904.4,0,0,0,1,1,1
AC026950.1,0,0,0,1,1,1
AC026950.2,0,0,0,1,1,1
AC026951.1,-5.116909488,-5.010215655,-5.77383877,0.999968765,0.999993293,0.999921572
AC026951.2,0,0,0,1,1,1
AC026954.1,0,0,0,1,1,1
AC026954.2,7.08297725,0,0,0.999968765,1,1
AC026954.3,0,0,0,1,1,1
AC026956.1,0,0,0,1,1,1
AC026979.1,0,0,0,1,1,1
AC026979.2,0,0,0,1,1,1
AC026979.3,0.415283653,-2.041503272,-1.689161556,0.999968765,0.999993293,0.999921572
AC026979.4,0,0,0,1,1,1
AC026991.1,0,0,0,1,1,1
AC026992.1,0,0,0,1,1,1
AC026992.2,0,0,0,1,1,1
AC027013.1,0,0,0,1,1,1
AC027018.1,0,0,0,1,1,1
AC027020.1,0,0,0,1,1,1
AC027020.2,-9.865726249,0,-6.608620245,0.999968765,1,0.999921572
AC027026.1,0,0,0,1,1,1
AC027031.1,0,0,0,1,1,1
AC027031.2,-0.497340587,0.141087183,-0.38853996,0.999968765,0.999993293,0.999921572
AC027045.1,0,0,0,1,1,1
AC027045.2,0,0,0,1,1,1
AC027045.3,0,0,0,1,1,1
AC027088.1,0,0,0,1,1,1
AC027088.2,0,0,0,1,1,1
AC027088.3,0,0,0,1,1,1
AC027088.4,0,0,0,1,1,1
AC027097.1,-1.872166,0.6749534,0.979405,0.9999688,0.9999933,0.9999216
AC027097.2,-5.658411,-4.544127,0,0.9999688,0.9999933,1
AC027104.1,0,0,0,1,1,1
AC027117.1,0,0,0,1,1,1
AC027117.2,0,0,0,1,1,1
AC027119.1,0,0,0,1,1,1
AC027124.1,0,0,0,1,1,1
AC027124.2,0,0,0,1,1,1
AC027130.1,0,0,0,1,1,1
AC027139.1,0,0,0,1,1,1
AC027139.2,0,0,0,1,1,1
AC027141.1,0,0,0,1,1,1
AC027176.1,0,0,0,1,1,1
AC027176.2,0,0,0,1,1,1
AC027176.3,0,0,0,1,1,1
AC027216.1,0,0,0,1,1,1
AC027228.1,0,0,0,1,1,1
AC027228.2,-0.19887537,-0.273681438,0.777725403,0.999968765,0.999993293,0.999921572
AC027228.3,0,0,0,1,1,1
AC027229.1,0,0,0,1,1,1
AC027237.1,0,0,0,1,1,1
AC027237.2,0,0,0,1,1,1
AC027237.3,-0.294781334,0.76487275,1.578205883,0.999968765,0.999993293,0.999921572
AC027237.4,0,0,0,1,1,1
AC027243.1,0,0,0,1,1,1
AC027243.2,0,0,0,1,1,1
AC027250.1,0,0,0,1,1,1
AC027271.1,0,0,0,1,1,1
AC027277.1,0,0,0,1,1,1
AC027277.2,0,0,0,1,1,1
AC027279.1,0,0,0,1,1,1
AC027279.2,0,0,0,1,1,1
AC027279.3,0,0,0,1,1,1
AC027279.4,0,0,0,1,1,1
AC027281.1,0,0,0,1,1,1
AC027281.2,2.15668,1.491488,0.689793,0.9999688,0.9999933,0.9999216
AC027287.1,0,0,0,1,1,1
AC027287.2,0,0,0,1,1,1
AC027288.1,0,7.107263879,0,1,0.999993293,1
AC027288.2,0,0,0,1,1,1
AC027288.3,0,11.32331401,-8.376364403,1,0.916522951,0.999921572
AC027290.1,0,0,0,1,1,1
AC027290.2,-0.694779453,-1.960587989,-0.161000067,0.999968765,0.999401774,0.999921572
AC027307.1,0,0,0,1,1,1
AC027307.2,0,0,0,1,1,1
AC027307.3,2.326964468,0,-6.62571048,0.999968765,1,0.999921572
AC027308.1,0,0,0,1,1,1
AC027309.1,0,0,0,1,1,1
AC027309.2,0,0,0,1,1,1
AC027309.3,0,0,0,1,1,1
AC027312.1,0,0,0,1,1,1
AC027313.1,0,0,0,1,1,1
AC027315.1,0,0,0,1,1,1
AC027319.1,0,0,0,1,1,1
AC027328.1,0,0,0,1,1,1
AC027334.1,0,0,0,1,1,1
AC027335.1,0,0,0,1,1,1
AC027335.2,0,0,0,1,1,1
AC027338.1,0,0,0,1,1,1
AC027338.2,0,0,0,1,1,1
AC027343.1,0,0,0,1,1,1
AC027343.2,0,0,0,1,1,1
AC027343.3,0,0,0,1,1,1
AC027345.1,0,0,0,1,1,1
AC027348.1,0,0,0,1,1,1
AC027348.2,-6.774982366,0,0,0.999968765,1,1
AC027369.1,0,0,0,1,1,1
AC027369.2,0,0,0,1,1,1
AC027369.3,0,0,0,1,1,1
AC027369.4,0,0,0,1,1,1
AC027369.5,0,0,0,1,1,1
AC027369.6,0,0,0,1,1,1
AC027373.1,0,0,0,1,1,1
AC027419.1,0,0,0,1,1,1
AC027419.2,0,0,0,1,1,1
AC027449.1,0,0,0,1,1,1
AC027451.1,0,0,0,1,1,1
AC027455.1,0,0,0,1,1,1
AC027455.2,0,0,0,1,1,1
AC027458.1,0,0,0,1,1,1
AC027506.1,0,0,0,1,1,1
AC027514.1,0,0,0,1,1,1
AC027514.2,0,0,0,1,1,1
AC027541.1,0,0,0,1,1,1
AC027544.1,0,0,0,1,1,1
AC027544.2,6.951024234,7.100780977,0,0.999968765,0.999993293,1
AC027544.3,0,0,0,1,1,1
AC027559.1,0,0,0,1,1,1
AC027575.1,0,0,0,1,1,1
AC027575.2,0,0,0,1,1,1
AC027575.3,0,0,0,1,1,1
AC027575.4,0,0,0,1,1,1
AC027601.1,-0.352347,0,0,0.9999688,1,1
AC027601.2,0,0,0,1,1,1
AC027601.3,0,0,0,1,1,1
AC027601.4,0,0,0,1,1,1
AC027601.5,-8.950207,0,0,0.9999688,1,1
AC027607.1,0,0,0,1,1,1
AC027612.1,0,-6.383509087,-0.731804367,1,0.999993293,0.999921572
AC027612.2,0,0,0,1,1,1
AC027612.3,0,0,0,1,1,1
AC027612.4,0,0,0,1,1,1
AC027613.1,0,0,0,1,1,1
AC027613.2,0,0,0,1,1,1
AC027627.1,0,0,0,1,1,1
AC027644.1,0,0,0,1,1,1
AC027644.2,0,0,0,1,1,1
